Date,Text,Score
2011-01-01,['nannan'],"('neg', 1.0)"
2011-01-03,['nannan'],"('neg', 1.0)"
2011-01-09,['nannan'],"('neg', 1.0)"
2011-01-10,['nannan'],"('neg', 1.0)"
2011-01-11,['nannan'],"('neg', 1.0)"
2011-01-13,['nannan'],"('neg', 1.0)"
2011-01-02,['nannan'],"('neg', 1.0)"
2011-01-14,['nannan'],"('neg', 1.0)"
2011-01-04,['nannan'],"('neg', 1.0)"
2011-01-06,['nannan'],"('neg', 1.0)"
2011-01-05,['nannan'],"('neg', 1.0)"
2011-01-16,['nannan'],"('neg', 1.0)"
2011-01-17,['nannan'],"('neg', 1.0)"
2011-01-18,['nannan'],"('neg', 1.0)"
2011-01-19,['nannan'],"('neg', 1.0)"
2011-01-20,['nannan'],"('neg', 1.0)"
2011-01-22,['nannan'],"('neg', 1.0)"
2011-01-25,['nannan'],"('neg', 1.0)"
2011-01-21,['nannan'],"('neg', 1.0)"
2011-01-27,['nannan'],"('neg', 1.0)"
2011-01-28,['nannan'],"('neg', 1.0)"
2011-01-29,['nannan'],"('neg', 1.0)"
2011-01-24,['nannan'],"('neg', 1.0)"
2011-01-31,['nannan'],"('neg', 1.0)"
2011-01-30,['nannan'],"('neg', 1.0)"
2011-02-01,['nannan'],"('neg', 1.0)"
2011-02-03,['nannan'],"('neg', 1.0)"
2011-02-02,['nannan'],"('neg', 1.0)"
2011-02-04,['nannan'],"('neg', 1.0)"
2011-02-05,['nannan'],"('neg', 1.0)"
2011-02-07,['nannan'],"('neg', 1.0)"
2011-02-08,['nannan'],"('neg', 1.0)"
2011-02-09,['nannan'],"('neg', 1.0)"
2011-01-12,['nannan'],"('neg', 1.0)"
2011-01-26,['nannan'],"('neg', 1.0)"
2011-02-12,['nannan'],"('neg', 1.0)"
2011-02-11,['nannan'],"('neg', 1.0)"
2011-02-14,['nannan'],"('neg', 1.0)"
2011-02-13,['nannan'],"('neg', 1.0)"
2011-02-16,['nannan'],"('neg', 1.0)"
2011-02-17,['nannan'],"('neg', 1.0)"
2011-02-18,['nannan'],"('neg', 1.0)"
2011-02-19,['nannan'],"('neg', 1.0)"
2011-02-20,['nannan'],"('neg', 1.0)"
2011-02-21,['nannan'],"('neg', 1.0)"
2011-01-15,['nannan'],"('neg', 1.0)"
2011-01-08,['nannan'],"('neg', 1.0)"
2011-01-23,['nannan'],"('neg', 1.0)"
2011-02-25,['nannan'],"('neg', 1.0)"
2011-02-26,['nannan'],"('neg', 1.0)"
2011-02-27,['nannan'],"('neg', 1.0)"
2011-02-06,['nannan'],"('neg', 1.0)"
2011-02-23,['nannan'],"('neg', 1.0)"
2011-02-10,['nannan'],"('neg', 1.0)"
,['nannan'],"('neg', 1.0)"
2011-03-01,['nannan'],"('neg', 1.0)"
,['nannan'],"('neg', 1.0)"
2011-03-03,['nannan'],"('neg', 1.0)"
2011-03-02,['nannan'],"('neg', 1.0)"
,['nannan'],"('neg', 1.0)"
